t_s,mem_available_kb,mem_total_kb,matching_rss_kb,n_matching,detail
1480.3,6144164,8216168,1480892,3,"6459:10744kB;6462:474268kB;6463:995880kB"
1485.3,6144164,8216168,1480892,3,"6459:10744kB;6462:474268kB;6463:995880kB"
1490.3,6144164,8216168,1480892,3,"6459:10744kB;6462:474268kB;6463:995880kB"
1495.3,6143408,8216168,1480892,3,"6459:10744kB;6462:474268kB;6463:995880kB"
1500.3,6144104,8216168,1480892,3,"6459:10744kB;6462:474268kB;6463:995880kB"
1505.4,6143132,8216168,1480892,3,"6459:10744kB;6462:474268kB;6463:995880kB"
1510.4,6143596,8216168,1480892,3,"6459:10744kB;6462:474268kB;6463:995880kB"
1515.4,6143636,8216168,1480892,3,"6459:10744kB;6462:474268kB;6463:995880kB"
1520.4,6143636,8216168,1480892,3,"6459:10744kB;6462:474268kB;6463:995880kB"
1525.4,6143636,8216168,1480892,3,"6459:10744kB;6462:474268kB;6463:995880kB"
1530.4,6143888,8216168,1480892,3,"6459:10744kB;6462:474268kB;6463:995880kB"
